formula,target
B8Dy2Rh8,227.596
C6Ir10,227.643
Hf1Os1,227.65
Nb8O10,227.741
B1Hf1Rh3,227.789
B8Ho2Rh8,227.847
C4Ni8Ta16,227.933
B8Er2Rh8,228.294
B1Rh6Ti2,228.317
B8Mo2U2,228.375
Mg4O12Si4,228.431
B8Rh8Y2,228.711
C4Cr12Nb12,228.894
O4V2,229.051
C4Nb8,229.144
B6Ni21U2,229.267
B8Rh8Th2,229.36
P1Rh2,229.683
C1Tc1,230.128
N4Ni8Ta16,230.322
Al8O12,230.569
O3Re1,230.85
B12Th1,231.011
Ge4Ir4Nb4,231.048
Ge2Mo6,231.461
C1Ru3Sc1,231.661
B12Zr1,231.972
Pt3Ti1,232.028
Si4W6,232.122
Al4O6,232.129
Ni3P3Rh3,232.256
B4N4,232.497
B4Nb6,233.135
Ru1Ta1,233.233
Hf4Pt12,233.41
O2Zr1,233.528
Hf1Pt3,233.611
Mo4P4Rh4,233.677
C1Mo1,233.828
N8Si6,234.141
Ir2V6,234.461
Cr1N1,234.5
Al1Ir1,234.556
B2Nb2Ni2,234.595
N1Pt1,235.089
B8Re2Th2,235.119
C4V8,235.336
Mo3Ni3P3,235.455
B2Pt2,235.759
N8Ta4,235.85
Hf4N8,236.028
B6Ni20Ta3,236.094
C4Co8Ta16,236.617
Hf1N1,236.7
Fe1Ru2Si1,237.0
B12Hf1,237.2
Al2C6Ta8,237.457
C1Hf1,237.58
N3Ta1Th1,237.889
B1Ir3Sc1,237.917
B2Zr1,238.111
Nb2O4,238.729
C1Ti1,238.772
Nb1Pt2,238.831
Ir3Sc1,239.011
H8W4,239.203
Nb1Ru3,239.211
Mg2Mo2N4,239.633
Be8Re4,239.657
Al1Os1,239.683
Co4N12,239.919
Nb3O3,240.206
Co8N4Ta16,241.089
B4Co4Re4,241.365
Mo12P4,241.472
B12U1,241.739
B2Ta4,241.926
Ru3U1,242.028
Nb3Re3Si3,242.098
B2Ti1,242.253
P4Ru8,242.278
C4H4N4,242.476
C28V32,242.717
Al2N6Ta8,242.809
B8Re2U2,243.074
Mn4Nb4P4,243.412
C6Nb8Si2,243.994
Fe4P4V4,244.176
Ru10Si6,244.279
B4Fe4W4,244.344
Nb2Pt6,244.87
Ge4N8Si2,244.939
Mo6Si2,245.056
Mo2Rh6,245.422
N12Rh4,245.505
Al2B2Ru3,245.638
Ru8Si4,245.997
Re8Zr4,246.207
Ir4Nb4Si4,246.229
N4Ru2,246.245
Si6Tc10,246.393
Os1Ti1,246.422
Rh4Si4Ta4,246.613
C1Pu1Ru3,246.647
B4Ni12,246.848
Al8B4Re12,247.039
Ir4Zr2,247.144
B2Nb2O8,247.219
N1Rh1,247.528
Os1V1,247.633
Pt6Si3,247.777
Ir5Th1,247.867
O4Ru2,248.21
Tc1V1,248.539
O4Ta2,248.822
Os8Sc4,249.371
Re3Si3Ta3,249.425
Fe4Nb4P4,249.699
Hf4Tc8,249.74
B2Hf1,250.639
Pt4Ta2,250.667
Nb4P4Ru4,251.047
C1Ru1,251.078
B4Ta6,251.363
Hf1O2,252.028
Ta1Tc1,252.117
Ru1Si1,252.394
N1Ru1,252.617
B28Mo12Y4,252.763
Nb1Rh3,252.822
Os3Zr1,252.9
Al1N1,253.039
Ni3P3W3,253.264
Ir6Nb6,253.267
B2Ir3Th1,253.307
N2U1,253.567
Cr1Rh3,253.761
Ir1N1,253.8
Ir2O4,255.209
Ir4Si4Ta4,255.733
Al1Re2,255.967
B4Hf6Ir10,256.204
P4Rh4Ta4,256.22
B4Mn1,257.372
Ir4V4,257.698
Ir3Pa1,257.789
C1W1,257.794
N3V6,257.8
Ir1Nb1,257.817
B8Hf2Ir6,257.964
C1Ru3Zr1,258.494
Fe4P4Ta4,258.968
Mo2Rh2,259.265
Rh1Sb1U1,259.969
B2O8Ta2,260.187
B2Ce1Ir3,260.496
Fe2N4W2,261.176
O4Si2,261.299
Rh3Ta1,261.828
C8,262.484
Mo6Pt2,262.539
B2V2,262.738
B4V3,263.174
Hf4Re8,263.216
P4Ru4Ta4,264.011
C4Mo16Ni8,264.228
B4Cr1,264.445
N2Rh2,264.49
B8Cr2,264.499
Mo2Pt2,264.665
C1Ni1,264.689
N3V2,264.777
B8Ir6Zr2,265.018
Mo12N4Ni8,265.844
N3Ta3,266.091
N1Tc1,266.2
Hf1Os3,266.844
O8W4,266.951
O8Ru4,267.408
N8Re4,267.536
C3Nb4,268.244
B4Nb3,268.313
B8Nb4Ni4,268.881
N3Ta2Zr1,269.713
Ir3Zr1,269.722
N1Ti1,269.778
O4Os2,269.836
O8Re4,270.644
Mo16N4Ni8,271.5
N2Os1,271.927
C1Ru3V1,271.967
Mo1Pt2,271.968
Cr2N2Nb2,272.008
B4Mo4Nb2,272.126
B6V4,272.201
Ir3U1,272.239
P4W12,273.122
B8Nb7Ru6,273.167
N4Pt2,273.284
N2Re1,273.326
B2V1,273.847
N4,275.415
B2Ta2,275.735
B6C2Nb6,275.841
B6Nb4,276.146
C1Ir1,276.461
B6Ta5,277.634
Co1N1,278.061
N12Ta10,280.084
Ir8Si4,280.343
Ir2P1,280.367
H2W2,280.458
Ir2Mo6,280.489
Ir2N2,281.093
Rh6W2,281.243
B4Ru2,281.335
O4Re2,281.86
Hf1Ir3,282.067
N3Nb4,282.087
C1Nb1Ru3,282.194
O4W2,282.573
N8Pt4,282.645
B8Ir4V8,285.167
B4Ta3,285.329
Re10Si6,286.005
B2Mo4,286.319
Mo6Os2,287.828
C4Mo8,288.243
B8Os6Sc2,288.726
Os3Ti1,288.783
Mo12N4Pt8,288.833
C1Ru3Ta1,289.2
Ir3Ti1,289.544
B6Ru4,289.956
Fe2,290.001
Mo4O8,290.116
Pt2W1,290.435
O8Si4,290.959
B2Rh2,291.389
Os1Si1,292.967
Tc1,293.528
N2Ru2,294.013
B4Mo6,294.314
B2Ta1,294.458
B2Tc2,295.445
C1V1,295.661
W8,296.578
N2Os2,296.607
N4Nb4,297.517
W1,297.672
N2Re2,298.16
N1Nb1,298.689
C4Ni8W16,298.828
Ir3N3,299.5
B1Tc1,299.898
B2Mo1,300.037
N1V1,300.728
B8Mo8Ru4,300.829
B4Tc2,301.794
N1Ta1,302.006
N4Ni8W12,302.144
Ir2N4,302.344
Tc2,302.705
B4Mo4,303.058
B8Fe4,303.724
B2C2Mo4,303.881
B2Mo2,304.27
B2Tc6,305.879
N8W4,307.161
B8W4,307.446
C6Cr3W20,309.633
Be4C4N8,310.156
B8Ir4Mo8,310.777
Mo1N1,312.006
Ru2,312.055
N2Nb2,312.087
N2Ta2,312.932
Re4Si4,313.196
Ir3Nb1,313.744
Ir6Si2,314.357
B8Mo8Os4,314.818
C1W2,315.084
Be2C2N4,315.504
Ir2Mo2,315.509
N3Tc3,316.1
C6Mo6,316.624
Ir3V1,316.728
N1Tc3,322.769
B6Ni2W6,322.773
C4Ir2,323.438
C11N4,324.727
Ir3Ta1,324.806
Fe8Re12,325.661
B4Re2,325.957
Ir4N8,327.115
B4Co4W4,327.995
C3W6,328.508
Os10W20,329.709
Re8W4,330.926
N4W3,330.994
C2Re1,332.102
B6Os4,332.501
B4W4,332.828
C20,332.972
N2W1,336.744
Mo2N2,336.869
N4W2,337.378
Ir2W2,338.217
B2W2,338.505
C4Re2,339.44
N4Os2,339.648
N2Tc4,340.797
Ir6Mo2,340.807
B6Co2W6,342.68
C2Os1,344.494
N4Os4,344.535
C8Cr12,345.622
N3Os3,347.567
C4Os2,349.63
B1Os1,352.371
Re3Ru1,353.918
C4W8,354.927
N4Re2,355.336
Ir6W2,356.705
N3Re3,361.169
Re2,370.642
B1C2N1,371.902
B2N2,372.249
B1N1,372.389
B2C4N2,374.56
N1Re3,375.489
N2Re4,376.377
B1C5,376.797
C1N2,379.13
C6N8,381.561
C1Os1,384.283
B1C7,384.725
C3N4,388.65
C1Re1,388.95
C2Re4,389.098
C4N8,392.962
C16,400.015
C4,401.545
Os2,406.795
C2,433.989
C12,435.023
Bi4,584.533
