formula,target,composition
B8Ho4Os4,207.888,B8 Ho4 Os4
Ni2Ta1,207.91,Ni2 Ta1
B8Dy4Os4,207.981,B8 Dy4 Os4
Pt3Zn1,207.989,Pt3 Zn1
Fe2Ga1V1,207.994,Fe2 Ga1 V1
B24Os4Y8,208.095,B24 Os4 Y8
Co4Nb4P4,208.103,Co4 Nb4 P4
Ge3Hf3Os3,208.519,Ge3 Hf3 Os3
P1Pt5Zn1,208.6,P1 Pt5 Zn1
C2Ge6Mo10,208.601,C2 Ge6 Mo10
Be1Rh1,208.917,Be1 Rh1
Os8Y4,209.012,Os8 Y4
B12Ni1,209.072,B12 Ni1
Ga2Pt6,209.077,Ga2 Pt6
O6V4,209.23,O6 V4
Ir4U2,209.944,Ir4 U2
Ge4Rh4Ta4,210.001,Ge4 Rh4 Ta4
Mo6Sn2,210.317,Mo6 Sn2
Mo1P1,210.33,Mo1 P1
C8Pu4W4,210.381,C8 Pu4 W4
Pd2Ta1,210.437,Pd2 Ta1
As4Rh8,210.832,As4 Rh8
Ru1Ti1,210.844,Ru1 Ti1
O8Pt6,210.867,O8 Pt6
C1Pd1,210.867,C1 Pd1
Al1Fe2V1,210.978,Al1 Fe2 V1
Be6N4,211.013,Be6 N4
Ge6Mo10,211.199,Ge6 Mo10
Si2Ta4,211.222,Si2 Ta4
Os4Si4Zr4,211.272,Os4 Si4 Zr4
Al1Ni2V1,211.389,Al1 Ni2 V1
C1Rh3Sc1,211.456,C1 Rh3 Sc1
Ga1Pt3,211.667,Ga1 Pt3
Pt2V6,212.061,Pt2 V6
Dy4Os8,212.178,Dy4 Os8
W4Zr2,212.211,W4 Zr2
Hf1Ru3,212.278,Hf1 Ru3
C1Si1,212.356,C1 Si1
Hf4Ir4Si4,212.386,Hf4 Ir4 Si4
Nb1Ru1,212.494,Nb1 Ru1
Ga1P1Pt5,212.521,Ga1 P1 Pt5
Mn2Sn1W1,212.522,Mn2 Sn1 W1
Al2C6V8,212.584,Al2 C6 V8
C8Si8,212.66,C8 Si8
Ge6N8,212.694,Ge6 N8
C6Si6,212.715,C6 Si6
C21Si21,212.734,C21 Si21
Os1Zr1,212.794,Os1 Zr1
C14Si14,212.843,C14 Si14
C19Si19,212.872,C19 Si19
C10Si10,212.969,C10 Si10
Nb4P4V4,212.983,Nb4 P4 V4
Fe2V6,213.006,Fe2 V6
C2Si2,213.043,C2 Si2
N2P2V6,213.133,N2 P2 V6
C4Si4,213.137,C4 Si4
Ru4Si4,213.195,Ru4 Si4
Os4Th2,213.228,Os4 Th2
C16Si16,213.383,C16 Si16
Co4Si4V4,213.436,Co4 Si4 V4
C18Si18,213.463,C18 Si18
Rh2V6,213.611,Rh2 V6
O8Ti4,213.647,O8 Ti4
Si2W1,213.699,Si2 W1
Tc8Zr4,213.725,Tc8 Zr4
Nb2Pt2,213.869,Nb2 Pt2
Rh3Zr1,214.083,Rh3 Zr1
Ni2P2Ta8,214.116,Ni2 P2 Ta8
Ca4O12Si4,214.132,Ca4 O12 Si4
Be24N16,214.235,Be24 N16
Pt8V1,214.682,Pt8 V1
Mg1P1Pt5,214.696,Mg1 P1 Pt5
N4Ta2,214.716,N4 Ta2
Hf2O8Si2,214.761,Hf2 O8 Si2
Ca2O6Si2,214.781,Ca2 O6 Si2
B1Rh3Zr1,214.928,B1 Rh3 Zr1
Ca1O3Si1,215.028,Ca1 O3 Si1
H1Rh1,215.047,H1 Rh1
O6Ti4,215.245,O6 Ti4
Co2P2Ta8,215.646,Co2 P2 Ta8
Ir5La1,215.65,Ir5 La1
Er4Os8,215.673,Er4 Os8
B4Ti3,215.714,B4 Ti3
P3Ru3Ti3,215.726,P3 Ru3 Ti3
Mo2O12Rh4,215.805,Mo2 O12 Rh4
C1Pt1,215.833,C1 Pt1
O8Zr4,215.848,O8 Zr4
Re3Si3Ti3,215.946,Re3 Si3 Ti3
Be8W4,216.052,Be8 W4
Dy1Ir3,216.133,Dy1 Ir3
Ir1Ti1,216.143,Ir1 Ti1
Si6W3,216.474,Si6 W3
B6Ni21Zr2,216.511,B6 Ni21 Zr2
Al4O10Si2,216.629,Al4 O10 Si2
Ni3Si1,216.661,Ni3 Si1
Ir4Sc2,216.667,Ir4 Sc2
B2Ru3Tb1,216.753,B2 Ru3 Tb1
Hg1Ni1,217.228,Hg1 Ni1
Co2Ta4,217.424,Co2 Ta4
O4Rh2,217.514,O4 Rh2
Pd2Ti1,217.608,Pd2 Ti1
B12Y1,217.678,B12 Y1
C1Zr1,217.69,C1 Zr1
Nb6Ni16Si7,217.711,Nb6 Ni16 Si7
Ge4O8,217.891,Ge4 O8
B12Sc1,217.944,B12 Sc1
Ga1Ir1,217.956,Ga1 Ir1
N4Nb16Ni8,217.983,N4 Nb16 Ni8
Hf3P3Ru3,218.111,Hf3 P3 Ru3
B12Dy1,218.267,B12 Dy1
Pt7Sb1,218.294,Pt7 Sb1
Hf3Re3Si3,218.335,Hf3 Re3 Si3
Be4N8Si4,218.681,Be4 N8 Si4
Ni6Ta2,218.686,Ni6 Ta2
Re1Ti1,218.689,Re1 Ti1
B12Ho1,218.689,B12 Ho1
B4Si2V10,218.779,B4 Si2 V10
B8Fe2,218.982,B8 Fe2
C2Fe12W12,219.328,C2 Fe12 W12
C1Ru3Th1,219.583,C1 Ru3 Th1
Ce2Os4,219.611,Ce2 Os4
N1Zr1,219.664,N1 Zr1
Re1Si2,219.691,Re1 Si2
Hf2W4,219.822,Hf2 W4
C2Nb4P2,219.828,C2 Nb4 P2
O6Rh4,219.839,O6 Rh4
N2V2,219.854,N2 V2
Al6B4Ru8,219.914,Al6 B4 Ru8
B6Hf2Ni21,219.95,B6 Hf2 Ni21
Re8Sc4,220.071,Re8 Sc4
Al4Pt12,220.108,Al4 Pt12
Mo2O4,220.302,Mo2 O4
Ir4Lu2,220.422,Ir4 Lu2
O4Pt2,220.527,O4 Pt2
Cu1Pt7,220.533,Cu1 Pt7
C1Ta1,220.633,C1 Ta1
B12Tb1,220.656,B12 Tb1
Al1Re1,220.767,Al1 Re1
C8U4W4,220.858,C8 U4 W4
N6Ta2Th2,220.92,N6 Ta2 Th2
Al2Mo6,220.922,Al2 Mo6
B12Er1,220.933,B12 Er1
Mo3Ti1,221.103,Mo3 Ti1
O14Pt4Sb4,221.178,O14 Pt4 Sb4
Al8C4Mo12,221.206,Al8 C4 Mo12
Be2N4Si2,221.348,Be2 N4 Si2
B28,221.433,B28
Nb6Rh6,221.456,Nb6 Rh6
Hf1Rh3,221.583,Hf1 Rh3
N1Pa1,221.75,N1 Pa1
Ir2Nb6,221.783,Ir2 Nb6
Fe4Si4,222.14,Fe4 Si4
Hf4O8,222.234,Hf4 O8
Nb1Rh1,222.415,Nb1 Rh1
Ga2Mo6,222.439,Ga2 Mo6
B8Th2W2,222.575,B8 Th2 W2
Ni4P4Ta5,222.689,Ni4 P4 Ta5
Nb4Pt4Si4,222.788,Nb4 Pt4 Si4
Al2C6Nb8,222.822,Al2 C6 Nb8
C1Cr1,223.033,C1 Cr1
Ni4P4Ta4,223.173,Ni4 P4 Ta4
Pt3V1,223.35,Pt3 V1
Be2Mo6,223.556,Be2 Mo6
Pt3Zr1,223.6,Pt3 Zr1
B6Hf3Ni20,223.817,B6 Hf3 Ni20
Hf3Os3Si3,224.023,Hf3 Os3 Si3
Mn1V1,224.467,Mn1 V1
Cr1O2,224.494,Cr1 O2
Os4Si4,224.574,Os4 Si4
Ni16Si7Ta6,224.583,Ni16 Si7 Ta6
Mo6Si4,224.628,Mo6 Si4
C2Mg2N4,224.651,C2 Mg2 N4
C2Nb2,225.053,C2 Nb2
Nb6Os2,225.283,Nb6 Os2
Al1Tc2,225.36,Al1 Tc2
Mo8P5,225.482,Mo8 P5
C4Nb16Rh8,225.506,C4 Nb16 Rh8
Ir1V1,225.643,Ir1 V1
Rh4Si4,225.697,Rh4 Si4
Ge6W10,225.721,Ge6 W10
B8Rh8Tb2,225.94,B8 Rh8 Tb2
Al1Pt3,225.972,Al1 Pt3
Rh3Ti1,225.972,Rh3 Ti1
P7Ru12Sc2,226.107,P7 Ru12 Sc2
Hf2N4,226.598,Hf2 N4
Os4P4Zr4,226.905,Os4 P4 Zr4
Nb4Rh4Si4,227.176,Nb4 Rh4 Si4
O3W1,227.467,O3 W1
C1Rh1,227.583,C1 Rh1
B8Dy2Rh8,227.596,B8 Dy2 Rh8
C6Ir10,227.643,C6 Ir10
Hf1Os1,227.65,Hf1 Os1
Nb8O10,227.741,Nb8 O10
B1Hf1Rh3,227.789,B1 Hf1 Rh3
B8Ho2Rh8,227.847,B8 Ho2 Rh8
C4Ni8Ta16,227.933,C4 Ni8 Ta16
B8Er2Rh8,228.294,B8 Er2 Rh8
B1Rh6Ti2,228.317,B1 Rh6 Ti2
B8Mo2U2,228.375,B8 Mo2 U2
Mg4O12Si4,228.431,Mg4 O12 Si4
B8Rh8Y2,228.711,B8 Rh8 Y2
C4Cr12Nb12,228.894,C4 Cr12 Nb12
O4V2,229.051,O4 V2
C4Nb8,229.144,C4 Nb8
B6Ni21U2,229.267,B6 Ni21 U2
B8Rh8Th2,229.36,B8 Rh8 Th2
P1Rh2,229.683,P1 Rh2
C1Tc1,230.128,C1 Tc1
N4Ni8Ta16,230.322,N4 Ni8 Ta16
Al8O12,230.569,Al8 O12
O3Re1,230.85,O3 Re1
B12Th1,231.011,B12 Th1
Ge4Ir4Nb4,231.048,Ge4 Ir4 Nb4
Ge2Mo6,231.461,Ge2 Mo6
C1Ru3Sc1,231.661,C1 Ru3 Sc1
B12Zr1,231.972,B12 Zr1
Pt3Ti1,232.028,Pt3 Ti1
Si4W6,232.122,Si4 W6
Al4O6,232.129,Al4 O6
Ni3P3Rh3,232.256,Ni3 P3 Rh3
B4N4,232.497,B4 N4
B4Nb6,233.135,B4 Nb6
Ru1Ta1,233.233,Ru1 Ta1
Hf4Pt12,233.41,Hf4 Pt12
O2Zr1,233.528,O2 Zr1
Hf1Pt3,233.611,Hf1 Pt3
Mo4P4Rh4,233.677,Mo4 P4 Rh4
C1Mo1,233.828,C1 Mo1
N8Si6,234.141,N8 Si6
Ir2V6,234.461,Ir2 V6
Cr1N1,234.5,Cr1 N1
Al1Ir1,234.556,Al1 Ir1
B2Nb2Ni2,234.595,B2 Nb2 Ni2
N1Pt1,235.089,N1 Pt1
B8Re2Th2,235.119,B8 Re2 Th2
C4V8,235.336,C4 V8
Mo3Ni3P3,235.455,Mo3 Ni3 P3
B2Pt2,235.759,B2 Pt2
N8Ta4,235.85,N8 Ta4
Hf4N8,236.028,Hf4 N8
B6Ni20Ta3,236.094,B6 Ni20 Ta3
C4Co8Ta16,236.617,C4 Co8 Ta16
Hf1N1,236.7,Hf1 N1
Fe1Ru2Si1,237.0,Fe1 Ru2 Si1
B12Hf1,237.2,B12 Hf1
Al2C6Ta8,237.457,Al2 C6 Ta8
C1Hf1,237.58,C1 Hf1
N3Ta1Th1,237.889,N3 Ta1 Th1
B1Ir3Sc1,237.917,B1 Ir3 Sc1
B2Zr1,238.111,B2 Zr1
Nb2O4,238.729,Nb2 O4
C1Ti1,238.772,C1 Ti1
Nb1Pt2,238.831,Nb1 Pt2
Ir3Sc1,239.011,Ir3 Sc1
H8W4,239.203,H8 W4
Nb1Ru3,239.211,Nb1 Ru3
Mg2Mo2N4,239.633,Mg2 Mo2 N4
Be8Re4,239.657,Be8 Re4
Al1Os1,239.683,Al1 Os1
Co4N12,239.919,Co4 N12
Nb3O3,240.206,Nb3 O3
Co8N4Ta16,241.089,Co8 N4 Ta16
B4Co4Re4,241.365,B4 Co4 Re4
Mo12P4,241.472,Mo12 P4
B12U1,241.739,B12 U1
B2Ta4,241.926,B2 Ta4
Ru3U1,242.028,Ru3 U1
Nb3Re3Si3,242.098,Nb3 Re3 Si3
B2Ti1,242.253,B2 Ti1
P4Ru8,242.278,P4 Ru8
C4H4N4,242.476,C4 H4 N4
C28V32,242.717,C28 V32
Al2N6Ta8,242.809,Al2 N6 Ta8
B8Re2U2,243.074,B8 Re2 U2
Mn4Nb4P4,243.412,Mn4 Nb4 P4
C6Nb8Si2,243.994,C6 Nb8 Si2
Fe4P4V4,244.176,Fe4 P4 V4
Ru10Si6,244.279,Ru10 Si6
B4Fe4W4,244.344,B4 Fe4 W4
Nb2Pt6,244.87,Nb2 Pt6
Ge4N8Si2,244.939,Ge4 N8 Si2
Mo6Si2,245.056,Mo6 Si2
Mo2Rh6,245.422,Mo2 Rh6
N12Rh4,245.505,N12 Rh4
Al2B2Ru3,245.638,Al2 B2 Ru3
Ru8Si4,245.997,Ru8 Si4
Re8Zr4,246.207,Re8 Zr4
Ir4Nb4Si4,246.229,Ir4 Nb4 Si4
N4Ru2,246.245,N4 Ru2
Si6Tc10,246.393,Si6 Tc10
Os1Ti1,246.422,Os1 Ti1
Rh4Si4Ta4,246.613,Rh4 Si4 Ta4
C1Pu1Ru3,246.647,C1 Pu1 Ru3
B4Ni12,246.848,B4 Ni12
Al8B4Re12,247.039,Al8 B4 Re12
Ir4Zr2,247.144,Ir4 Zr2
B2Nb2O8,247.219,B2 Nb2 O8
N1Rh1,247.528,N1 Rh1
Os1V1,247.633,Os1 V1
Pt6Si3,247.777,Pt6 Si3
Ir5Th1,247.867,Ir5 Th1
O4Ru2,248.21,O4 Ru2
Tc1V1,248.539,Tc1 V1
O4Ta2,248.822,O4 Ta2
Os8Sc4,249.371,Os8 Sc4
Re3Si3Ta3,249.425,Re3 Si3 Ta3
Fe4Nb4P4,249.699,Fe4 Nb4 P4
Hf4Tc8,249.74,Hf4 Tc8
B2Hf1,250.639,B2 Hf1
Pt4Ta2,250.667,Pt4 Ta2
Nb4P4Ru4,251.047,Nb4 P4 Ru4
C1Ru1,251.078,C1 Ru1
B4Ta6,251.363,B4 Ta6
Hf1O2,252.028,Hf1 O2
Ta1Tc1,252.117,Ta1 Tc1
Ru1Si1,252.394,Ru1 Si1
N1Ru1,252.617,N1 Ru1
B28Mo12Y4,252.763,B28 Mo12 Y4
Nb1Rh3,252.822,Nb1 Rh3
Os3Zr1,252.9,Os3 Zr1
Al1N1,253.039,Al1 N1
Ni3P3W3,253.264,Ni3 P3 W3
Ir6Nb6,253.267,Ir6 Nb6
B2Ir3Th1,253.307,B2 Ir3 Th1
N2U1,253.567,N2 U1
Cr1Rh3,253.761,Cr1 Rh3
Ir1N1,253.8,Ir1 N1
Ir2O4,255.209,Ir2 O4
Ir4Si4Ta4,255.733,Ir4 Si4 Ta4
Al1Re2,255.967,Al1 Re2
B4Hf6Ir10,256.204,B4 Hf6 Ir10
P4Rh4Ta4,256.22,P4 Rh4 Ta4
B4Mn1,257.372,B4 Mn1
Ir4V4,257.698,Ir4 V4
Ir3Pa1,257.789,Ir3 Pa1
C1W1,257.794,C1 W1
N3V6,257.8,N3 V6
Ir1Nb1,257.817,Ir1 Nb1
B8Hf2Ir6,257.964,B8 Hf2 Ir6
C1Ru3Zr1,258.494,C1 Ru3 Zr1
Fe4P4Ta4,258.968,Fe4 P4 Ta4
Mo2Rh2,259.265,Mo2 Rh2
Rh1Sb1U1,259.969,Rh1 Sb1 U1
B2O8Ta2,260.187,B2 O8 Ta2
B2Ce1Ir3,260.496,B2 Ce1 Ir3
Fe2N4W2,261.176,Fe2 N4 W2
O4Si2,261.299,O4 Si2
Rh3Ta1,261.828,Rh3 Ta1
C8,262.484,C8
Mo6Pt2,262.539,Mo6 Pt2
B2V2,262.738,B2 V2
B4V3,263.174,B4 V3
Hf4Re8,263.216,Hf4 Re8
P4Ru4Ta4,264.011,P4 Ru4 Ta4
C4Mo16Ni8,264.228,C4 Mo16 Ni8
B4Cr1,264.445,B4 Cr1
N2Rh2,264.49,N2 Rh2
B8Cr2,264.499,B8 Cr2
Mo2Pt2,264.665,Mo2 Pt2
C1Ni1,264.689,C1 Ni1
N3V2,264.777,N3 V2
B8Ir6Zr2,265.018,B8 Ir6 Zr2
Mo12N4Ni8,265.844,Mo12 N4 Ni8
N3Ta3,266.091,N3 Ta3
N1Tc1,266.2,N1 Tc1
Hf1Os3,266.844,Hf1 Os3
O8W4,266.951,O8 W4
O8Ru4,267.408,O8 Ru4
N8Re4,267.536,N8 Re4
C3Nb4,268.244,C3 Nb4
B4Nb3,268.313,B4 Nb3
B8Nb4Ni4,268.881,B8 Nb4 Ni4
N3Ta2Zr1,269.713,N3 Ta2 Zr1
Ir3Zr1,269.722,Ir3 Zr1
N1Ti1,269.778,N1 Ti1
O4Os2,269.836,O4 Os2
O8Re4,270.644,O8 Re4
Mo16N4Ni8,271.5,Mo16 N4 Ni8
N2Os1,271.927,N2 Os1
C1Ru3V1,271.967,C1 Ru3 V1
Mo1Pt2,271.968,Mo1 Pt2
Cr2N2Nb2,272.008,Cr2 N2 Nb2
B4Mo4Nb2,272.126,B4 Mo4 Nb2
B6V4,272.201,B6 V4
Ir3U1,272.239,Ir3 U1
P4W12,273.122,P4 W12
B8Nb7Ru6,273.167,B8 Nb7 Ru6
N4Pt2,273.284,N4 Pt2
N2Re1,273.326,N2 Re1
B2V1,273.847,B2 V1
N4,275.415,N4
B2Ta2,275.735,B2 Ta2
B6C2Nb6,275.841,B6 C2 Nb6
B6Nb4,276.146,B6 Nb4
C1Ir1,276.461,C1 Ir1
B6Ta5,277.634,B6 Ta5
Co1N1,278.061,Co1 N1
N12Ta10,280.084,N12 Ta10
Ir8Si4,280.343,Ir8 Si4
Ir2P1,280.367,Ir2 P1
H2W2,280.458,H2 W2
Ir2Mo6,280.489,Ir2 Mo6
Ir2N2,281.093,Ir2 N2
Rh6W2,281.243,Rh6 W2
B4Ru2,281.335,B4 Ru2
O4Re2,281.86,O4 Re2
Hf1Ir3,282.067,Hf1 Ir3
N3Nb4,282.087,N3 Nb4
C1Nb1Ru3,282.194,C1 Nb1 Ru3
O4W2,282.573,O4 W2
N8Pt4,282.645,N8 Pt4
B8Ir4V8,285.167,B8 Ir4 V8
B4Ta3,285.329,B4 Ta3
Re10Si6,286.005,Re10 Si6
B2Mo4,286.319,B2 Mo4
Mo6Os2,287.828,Mo6 Os2
C4Mo8,288.243,C4 Mo8
B8Os6Sc2,288.726,B8 Os6 Sc2
Os3Ti1,288.783,Os3 Ti1
Mo12N4Pt8,288.833,Mo12 N4 Pt8
C1Ru3Ta1,289.2,C1 Ru3 Ta1
Ir3Ti1,289.544,Ir3 Ti1
B6Ru4,289.956,B6 Ru4
Fe2,290.001,Fe2
Mo4O8,290.116,Mo4 O8
Pt2W1,290.435,Pt2 W1
O8Si4,290.959,O8 Si4
B2Rh2,291.389,B2 Rh2
Os1Si1,292.967,Os1 Si1
Tc1,293.528,Tc1
N2Ru2,294.013,N2 Ru2
B4Mo6,294.314,B4 Mo6
B2Ta1,294.458,B2 Ta1
B2Tc2,295.445,B2 Tc2
C1V1,295.661,C1 V1
W8,296.578,W8
N2Os2,296.607,N2 Os2
N4Nb4,297.517,N4 Nb4
W1,297.672,W1
N2Re2,298.16,N2 Re2
N1Nb1,298.689,N1 Nb1
C4Ni8W16,298.828,C4 Ni8 W16
Ir3N3,299.5,Ir3 N3
B1Tc1,299.898,B1 Tc1
B2Mo1,300.037,B2 Mo1
N1V1,300.728,N1 V1
B8Mo8Ru4,300.829,B8 Mo8 Ru4
B4Tc2,301.794,B4 Tc2
N1Ta1,302.006,N1 Ta1
N4Ni8W12,302.144,N4 Ni8 W12
Ir2N4,302.344,Ir2 N4
Tc2,302.705,Tc2
B4Mo4,303.058,B4 Mo4
B8Fe4,303.724,B8 Fe4
B2C2Mo4,303.881,B2 C2 Mo4
B2Mo2,304.27,B2 Mo2
B2Tc6,305.879,B2 Tc6
N8W4,307.161,N8 W4
B8W4,307.446,B8 W4
C6Cr3W20,309.633,C6 Cr3 W20
Be4C4N8,310.156,Be4 C4 N8
B8Ir4Mo8,310.777,B8 Ir4 Mo8
Mo1N1,312.006,Mo1 N1
Ru2,312.055,Ru2
N2Nb2,312.087,N2 Nb2
N2Ta2,312.932,N2 Ta2
Re4Si4,313.196,Re4 Si4
Ir3Nb1,313.744,Ir3 Nb1
Ir6Si2,314.357,Ir6 Si2
B8Mo8Os4,314.818,B8 Mo8 Os4
C1W2,315.084,C1 W2
Be2C2N4,315.504,Be2 C2 N4
Ir2Mo2,315.509,Ir2 Mo2
N3Tc3,316.1,N3 Tc3
C6Mo6,316.624,C6 Mo6
Ir3V1,316.728,Ir3 V1
N1Tc3,322.769,N1 Tc3
B6Ni2W6,322.773,B6 Ni2 W6
C4Ir2,323.438,C4 Ir2
C11N4,324.727,C11 N4
Ir3Ta1,324.806,Ir3 Ta1
Fe8Re12,325.661,Fe8 Re12
B4Re2,325.957,B4 Re2
Ir4N8,327.115,Ir4 N8
B4Co4W4,327.995,B4 Co4 W4
C3W6,328.508,C3 W6
Os10W20,329.709,Os10 W20
Re8W4,330.926,Re8 W4
N4W3,330.994,N4 W3
C2Re1,332.102,C2 Re1
B6Os4,332.501,B6 Os4
B4W4,332.828,B4 W4
C20,332.972,C20
N2W1,336.744,N2 W1
Mo2N2,336.869,Mo2 N2
N4W2,337.378,N4 W2
Ir2W2,338.217,Ir2 W2
B2W2,338.505,B2 W2
C4Re2,339.44,C4 Re2
N4Os2,339.648,N4 Os2
N2Tc4,340.797,N2 Tc4
Ir6Mo2,340.807,Ir6 Mo2
B6Co2W6,342.68,B6 Co2 W6
C2Os1,344.494,C2 Os1
N4Os4,344.535,N4 Os4
C8Cr12,345.622,C8 Cr12
N3Os3,347.567,N3 Os3
C4Os2,349.63,C4 Os2
B1Os1,352.371,B1 Os1
Re3Ru1,353.918,Re3 Ru1
C4W8,354.927,C4 W8
N4Re2,355.336,N4 Re2
Ir6W2,356.705,Ir6 W2
N3Re3,361.169,N3 Re3
Re2,370.642,Re2
B1C2N1,371.902,B1 C2 N1
B2N2,372.249,B2 N2
B1N1,372.389,B1 N1
B2C4N2,374.56,B2 C4 N2
N1Re3,375.489,N1 Re3
N2Re4,376.377,N2 Re4
B1C5,376.797,B1 C5
C1N2,379.13,C1 N2
C6N8,381.561,C6 N8
C1Os1,384.283,C1 Os1
B1C7,384.725,B1 C7
C3N4,388.65,C3 N4
C1Re1,388.95,C1 Re1
C2Re4,389.098,C2 Re4
C4N8,392.962,C4 N8
C16,400.015,C16
C4,401.545,C4
Os2,406.795,Os2
C2,433.989,C2
C12,435.023,C12
Bi4,584.533,Bi4
