compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_reuss
Mo3Ni3P3,aflow:edb81c429b8382c7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mo1Ni1P1_ICSD_1133,189,hP9,235.455
C1Tc1,aflow:2db34a5f338cade0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Tc1_ICSD_183168,216,cF8,235.533
B2Pt2,aflow:fab5ba5d7042a505,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B1Pt1_ICSD_615210,194,hP4,235.759
N8Ta4,aflow:b94f322df3a0473c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N2Ta1_ICSD_290432,205,cP12,235.85
O3Re1,aflow:6e0fcf817cf44d2c,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/ORe_pv/A3B_cP4_221_d_a.AB,221,cP4,235.959
Hf4N8,aflow:fd9286fdb1226354,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hf1N2_ICSD_290429,205,cP12,236.028
B6Ni20Ta3,aflow:5a41940197c879ba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B6Ni20Ta3_ICSD_615021,225,cF116,236.094
C4Co8Ta16,aflow:76eb3924a0289246,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Co2Ta4_ICSD_617448,227,cF112,236.617
Hf1N1,aflow:2ac33a1cfde8ab4b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hf1N1_ICSD_183420,221,cP2,236.7
Fe1Ru2Si1,aflow:5516c55915dd7282,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Fe1Ru2Si1_ICSD_53525,225,cF16,237.0
B12Hf1,aflow:34e06cdc51fc586a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Hf1_ICSD_614421,225,cF52,237.2
Al2C6Ta8,aflow:57f062a3210f15c7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1C3Ta4_ICSD_157843,194,hP16,237.457
C1Hf1,aflow:6c0fcbe9e1888638,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/CHf_pv/201,225,cF8,237.58
N3Ta1Th1,aflow:2dedd8dce7aaba03,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N3Ta1Th1_ICSD_247345,221,cP5,237.889
B1Ir3Sc1,aflow:e43d9b6dca4e6e49,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1Ir3Sc1_ICSD_44423,221,cP5,237.917
B2Zr1,aflow:08bf56bf0b207b22,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Zr1_ICSD_169458,191,hP3,238.111
Nb2O4,aflow:8b2b153353524b19,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Nb1O2_ICSD_56018,136,tP6,238.729
C1Ti1,aflow:dd9ba1426a59901e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ti1_ICSD_151365,225,cF8,238.772
Nb1Pt2,aflow:64e5939b95330a2f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Nb1Pt2_ICSD_105200,71,oI6,238.831
Ir3Sc1,aflow:c05f2543a2e6b0f9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir3Sc1_ICSD_108568,221,cP4,239.011
H8W4,aflow:f23d162b7bc02b36,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/H2W1_ICSD_247591,62,oP12,239.203
Nb1Ru3,aflow:8d391fe939c34557,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb1Ru3_ICSD_105224,221,cP4,239.211
C1Hf1,aflow:b47a366c761301a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_108134,225,cF8,239.433
Mg2Mo2N4,aflow:f64ab77ceb83f1d1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mg1Mo1N2_ICSD_185913,194,hP8,239.633
Be8Re4,aflow:7c8e5aa985c32506,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Be2Re1_ICSD_58732,194,hP12,239.657
Al1Os1,aflow:0bfbd3e06ddf9497,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Os1_ICSD_58107,221,cP2,239.683
Co4N12,aflow:fdfdb34f4c4d8200,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Co1N3_ICSD_162106,204,cI32,239.919
Nb3O3,aflow:5694ef3902a1e13d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb1O1_ICSD_14338,221,cP6,240.206
Co8N4Ta16,aflow:bef5a332ff1700c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2N1Ta4_ICSD_624254,227,cF112,241.089
Be1O1,aflow:c316b8d2b8b69038,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be1O1_ICSD_162676,225,cF8,241.178
B4Co4Re4,aflow:811370539a576f03,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B1Co1Re1_ICSD_20079,62,oP12,241.365
Mo12P4,aflow:725481039c639193,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Mo3P1_ICSD_43238,121,tI32,241.472
B12U1,aflow:b4c17e51ae055188,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12U1_ICSD_23862,225,cF52,241.739
B2Ta4,aflow:7fb90aa310692ace,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/B1Ta2_ICSD_42525,140,tI12,241.926
Ru3U1,aflow:cd335767e53fce83,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ru3U1_ICSD_106008,221,cP4,242.028
Nb3Re3Si3,aflow:0d85b3f54582921e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Nb1Re1Si1_ICSD_645257,189,hP9,242.098
C1Si1,aflow:0e5c7dd4d4402dff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Si1_ICSD_182362,225,cF8,242.211
B2Ti1,aflow:32d72b1701a0a640,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Ti1_ICSD_165124,191,hP3,242.253
P4Ru8,aflow:996621a58debd213,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Ru2_ICSD_43686,62,oP12,242.278
C4H4N4,aflow:f72a3c4713762c2d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1H1N1_ICSD_187644,198,cP12,242.476
B2Pt2,aflow:1a957803df0701a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B1Pt1_ICSD_24363,194,hP4,242.715
C28V32,aflow:41c83acfdc68983d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C7V8_ICSD_22177,212,cP60,242.717
Al2N6Ta8,aflow:18b4630fd18cfa5c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1N3Ta4_ICSD_181350,194,hP16,242.809
B8Re2U2,aflow:2f56768f5a063e06,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/B4Re1U1_ICSD_615262,65,oS24,243.074
Mn4Nb4P4,aflow:b1f37e8516f1f1b4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Mn1Nb1P1_ICSD_68280,62,oP12,243.412
C6Nb8Si2,aflow:a1f7a31124753dd7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C3Nb4Si1_ICSD_169044,194,hP16,243.994
Nb3O3,aflow:524e3f8a032cb40c,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/Nb_svO/AB_cP6_221_c_d.AB,221,cP6,244.131
Nb3O3,aflow:524e3f8a032cb40c,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/Nb_svO/AB_cP6_221_c_d.AB,221,cP6,244.131
Fe4P4V4,aflow:9f6039dc2a59d028,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Fe1P1V1_ICSD_633116,62,oP12,244.176
Ru10Si6,aflow:baaf68ed4cbcc21c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ru5Si3_ICSD_650615,55,oP16,244.279
B4Fe4W4,aflow:d1c5346be7fd2d90,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B1Fe1W1_ICSD_614256,62,oP12,244.344
Nb2Pt6,aflow:1e7f9f944e7fb80f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Pt3_ICSD_645212,59,oP8,244.87
Ge4N8Si2,aflow:099b2305492f3179,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge2N4Si1_ICSD_183103,227,cF56,244.939
Mo6Si2,aflow:27fc448cd50267a9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mo3Si1_ICSD_30640,223,cP8,245.056
Mo2Rh6,aflow:416b4044dfd08715,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mo1Rh3_ICSD_105085,194,hP8,245.422
N12Rh4,aflow:1c2c9c7f572501eb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/N3Rh1_ICSD_162108,204,cI32,245.505
Al2B2Ru3,aflow:1d5a88cc33f339d7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Al2B2Ru3_ICSD_43843,65,oS14,245.638
Ru8Si4,aflow:63c8c688426cabe6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ru2Si1_ICSD_43591,62,oP12,245.997
Re8Zr4,aflow:2d3eb8e5ba3a4b4c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Zr1_ICSD_650209,194,hP12,246.207
Ir4Nb4Si4,aflow:0a2ad91ef1bbd4e9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ir1Nb1Si1_ICSD_411882,62,oP12,246.229
N4Ru2,aflow:ff772ba0d7554ad3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/N2Ru1_ICSD_240754,58,oP6,246.245
N1Zr1,aflow:cfad5bdff5d83557,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Zr1_ICSD_167851,225,cF8,246.339
Si6Tc10,aflow:8e36b1f17908f2a0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Si3Tc5_ICSD_652383,140,tI32,246.393
Os1Ti1,aflow:0bf997c48fac9fb0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1Ti1_ICSD_105572,221,cP2,246.422
Rh4Si4Ta4,aflow:ad9354be15e720b4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Rh1Si1Ta1_ICSD_90435,62,oP12,246.613
C1Pu1Ru3,aflow:96c08e201f88c223,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Pu1Ru3_ICSD_108183,221,cP5,246.647
B4Ni12,aflow:8546c11dea2f0f85,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B1Ni3_ICSD_106927,62,oP16,246.848
Al8B4Re12,aflow:df021441e8995d8a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2B1Re3_ICSD_43842,227,cF96,247.039
Ir4Zr2,aflow:aef1246e5a5979ad,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2Zr1_ICSD_104608,227,cF24,247.144
B2Nb2O8,aflow:43961ee5cd25786b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/B1Nb1O4_ICSD_63202,141,tI24,247.219
N1Rh1,aflow:76a949f3e4293a2e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1Rh1_ICSD_185573,187,hP2,247.528
Os1V1,aflow:ac232fbf28827cdb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1V1_ICSD_150935,221,cP2,247.633
Pt6Si3,aflow:91811bd5d92e6928,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Pt2Si1_ICSD_649614,189,hP9,247.777
Ir5Th1,aflow:7105e05bda001793,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ir5Th1_ICSD_104573,191,hP6,247.867
C1Cr1,aflow:c202668d580fc1be,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/CCr_pv/201,225,cF8,247.867
O4Ru2,aflow:fa0c83e3388487ed,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O2Ru1_ICSD_290495,58,oP6,248.21
Tc1V1,aflow:f79a697dd14b142c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Tc1V1_ICSD_106143,221,cP2,248.539
C1Pt1,aflow:3e796af1a6735597,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Pt1_ICSD_169405,187,hP2,248.786
O4Ta2,aflow:3d9128eca44abb0e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Ta1_ICSD_603572,136,tP6,248.822
Os8Sc4,aflow:fc20534c45545bcc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Os2Sc1_ICSD_150515,194,hP12,249.371
Re3Si3Ta3,aflow:e5124c2b0062222f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re1Si1Ta1_ICSD_650119,189,hP9,249.425
Fe4Nb4P4,aflow:1428e7d131ccbde0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Fe1Nb1P1_ICSD_632794,62,oP12,249.699
Hf4Tc8,aflow:97a4fa41470d92e6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Tc2_ICSD_638955,194,hP12,249.74
Re8Zr4,aflow:60fbc5ebb2614257,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Zr1_ICSD_650212,194,hP12,249.812
C1Ti1,aflow:16b8970d5a033170,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/CTi_sv/201,225,cF8,250.114
B2Hf1,aflow:09457595b027e910,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Hf1_ICSD_167820,191,hP3,250.639
O4Ru2,aflow:5433cf1ada4a05c1,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/ORu_pv/A2B_tP6_136_f_a-001.AB,136,tP6,250.64
Pt4Ta2,aflow:c1ac86b1c7ec4a36,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Pt2Ta1_ICSD_105802,63,oS12,250.667
Nb4P4Ru4,aflow:f45055f4ef13b036,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1P1Ru1_ICSD_645175,62,oP12,251.047
C1Ru1,aflow:66a8421bcf7958af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ru1_ICSD_181771,216,cF8,251.078
Re8Zr4,aflow:76e5c883a33f1ee8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Zr1_ICSD_650208,194,hP12,251.175
B4Ta6,aflow:812876728172215e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B2Ta3_ICSD_107320,127,tP10,251.363
Hf1O2,aflow:fa3bd3969b846c2b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf1O2_ICSD_173967,225,cF12,252.028
Ta1Tc1,aflow:4636a6353e82ddee,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ta1Tc1_ICSD_106117,221,cP2,252.117
Ru1Si1,aflow:880c8fef7f3b232b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ru1Si1_ICSD_44616,221,cP2,252.394
N1Ru1,aflow:e9a1d4df7372024a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Ru1_ICSD_183190,216,cF8,252.617
B28Mo12Y4,aflow:6cdc02d0ed2423ed,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B7Mo3Y1_ICSD_39873,62,oP44,252.763
Nb1Rh3,aflow:e5c0d55f329a6b84,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb1Rh3_ICSD_105214,221,cP4,252.822
Pt3V1,aflow:bda48bfbdd63e454,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pt3V1_ICSD_105840,139,tI8,252.873
Os3Zr1,aflow:76196fa1b70f94cf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os3Zr1_ICSD_185644,221,cP4,252.9
Al1N1,aflow:06c4f5b0f1a49096,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1N1_ICSD_105522,225,cF8,253.039
Ni3P3W3,aflow:033207703b32945f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1P1W1_ICSD_646181,189,hP9,253.264
Ir6Nb6,aflow:44bb4888c765fb7f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ir1Nb1_ICSD_640828,51,oP12,253.267
B2Ir3Th1,aflow:8abcebb53cd250d1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Ir3Th1_ICSD_44425,191,hP6,253.307
N2U1,aflow:6ff5ead0224a7725,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N2U1_ICSD_105129,225,cF12,253.567
Cr1Rh3,aflow:28847c37c6fa69ea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cr1Rh3_ICSD_108348,221,cP4,253.761
Ir1N1,aflow:054123e54b15f7eb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1N1_ICSD_183156,216,cF8,253.8
N8Si6,aflow:23b2952e743dd8d4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/N4Si3_ICSD_97567,220,cI28,254.578
Ir2O4,aflow:f2017297ff3f45c8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ir1O2_ICSD_56009,136,tP6,255.209
Ir4Si4Ta4,aflow:0333f4a56bc81637,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ir1Si1Ta1_ICSD_411884,62,oP12,255.733
Al1Re2,aflow:ed75ba31d09c3ba7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Re2_ICSD_58147,139,tI6,255.967
B4Hf6Ir10,aflow:d334a6eb4253fef4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B2Hf3Ir5_ICSD_44316,127,tP20,256.204
P4Rh4Ta4,aflow:9508354e3bf3ff2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Rh1Ta1_ICSD_648003,62,oP12,256.22
Re8Zr4,aflow:572a8aac8b57ea56,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Zr1_ICSD_650217,194,hP12,256.362
B4Mn1,aflow:81fd9bfaa37455a4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/B4Mn1_ICSD_15079,71,oI10,257.372
Ir4V4,aflow:5fcf29891c1ff440,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ir1V1_ICSD_169389,65,oS16,257.698
Ir3Pa1,aflow:6a5764c23dd260e3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir3Pa1_ICSD_104537,221,cP4,257.789
C1W1,aflow:773f66d722ac2cab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1W1_ICSD_185994,216,cF8,257.794
N3V6,aflow:b857a0a8990500bb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1V2_ICSD_167802,162,hP9,257.8
Ir1Nb1,aflow:d11e5747fb179dd4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ir1Nb1_ICSD_104509,123,tP2,257.817
B8Hf2Ir6,aflow:ce29391dc938bbb0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B4Hf1Ir3_ICSD_614432,176,hP16,257.964
C1Ru3Zr1,aflow:5c50194cee2c2f1e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Ru3Zr1_ICSD_77282,221,cP5,258.494
Fe4P4Ta4,aflow:a524a8751b3f3630,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Fe1P1Ta1_ICSD_49729,62,oP12,258.968
Mo2Rh2,aflow:d843347666787469,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Mo1Rh1_ICSD_108608,51,oP4,259.265
C1Pt1,aflow:13435caa82fe4e49,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181114,225,cF8,259.283
Rh1Sb1U1,aflow:67b68d026913588e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Rh1Sb1U1_ICSD_52068,216,cF12,259.969
B2O8Ta2,aflow:8b970538fe25ea60,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/B1O4Ta1_ICSD_20383,141,tI24,260.187
B2Ce1Ir3,aflow:13d4d51cec45ebe0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Ce1Ir3_ICSD_97341,191,hP6,260.496
Fe2N4W2,aflow:b28ce86f41201aa7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Fe1N2W1_ICSD_75971,194,hP8,261.176
O4Si2,aflow:4f902b3d58a95155,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Si1_ICSD_10078,136,tP6,261.299
Rh3Ta1,aflow:1cc19369e172f540,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh3Ta1_ICSD_105939,221,cP4,261.828
C8,aflow:b09fb2c5d1e939ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/C1_ICSD_88816,65,oS16,262.484
Mo6Pt2,aflow:2e37a56af4d58d47,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mo3Pt1_ICSD_105071,223,cP8,262.539
B2V2,aflow:903c90bb4da3e6a0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/B1V1_ICSD_42952,63,oS8,262.738
B4V3,aflow:da95f17820b9c395,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/B4V3_ICSD_615659,71,oI14,263.174
Hf4Re8,aflow:ad41a3c8cb8e3655,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Re2_ICSD_150512,194,hP12,263.216
C1Nb1,aflow:769e733eb3a11f23,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Nb1_ICSD_189090,221,cP2,263.75
N1Rh1,aflow:9b25a80f93aee9e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Rh1_ICSD_183191,225,cF8,263.822
P4Ru4Ta4,aflow:4a3724566247c38d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Ru1Ta1_ICSD_648031,62,oP12,264.011
C4Mo16Ni8,aflow:12a02af58baf98a1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo4Ni2_ICSD_76137,227,cF112,264.228
B4Cr1,aflow:71617e3eeffef488,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/B4Cr1_ICSD_24353,71,oI10,264.445
N2Rh2,aflow:f37283da7ac0bd4e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1Rh1_ICSD_185563,194,hP4,264.49
B8Cr2,aflow:32ca0a12b5f25e59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B4Cr1_ICSD_186851,58,oP10,264.499
Mo2Pt2,aflow:d0c29ad69c95c8f2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Mo1Pt1_ICSD_644148,51,oP4,264.665
C1Ni1,aflow:e9301e24b4623b39,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ni1_ICSD_180457,225,cF8,264.689
N3V2,aflow:589af7a1a460fbba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N3V2_ICSD_182700,164,hP5,264.777
B8Ir6Zr2,aflow:a72c66403b8d08d2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B4Ir3Zr1_ICSD_614583,176,hP16,265.018
Mo12N4Ni8,aflow:d3d16a5555e1d1d0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mo3N1Ni2_ICSD_165261,213,cP24,265.844
N3Ta3,aflow:7242d7e82907f273,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1Ta1_ICSD_182348,191,hP6,266.091
N1Tc1,aflow:976e92804505ea2b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Tc1_ICSD_183187,225,cF8,266.2
Hf1Os3,aflow:657e6ad9750772fb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hf1Os3_ICSD_185650,221,cP4,266.844
O8W4,aflow:9d672c47b2fc6f85,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/OW_pv/A2B_mP12_14_2e_e-002.AB,14,mP12,266.951
O8Ru4,aflow:4b4d8105d7c3eacc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O2Ru1_ICSD_66939,205,cP12,267.408
N8Re4,aflow:869d064477a9d8a9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N2Re1_ICSD_290438,205,cP12,267.536
C3Nb4,aflow:e1f16aa26b4ae82a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C3Nb4_ICSD_42758,221,cP7,268.244
B4Nb3,aflow:8f41f9108042804d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/B4Nb3_ICSD_656212,71,oI14,268.313
N4Ta2,aflow:47d3f3ddbfe6fd04,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N2Ta1_ICSD_290431,194,hP6,268.578
B8Nb4Ni4,aflow:a47595f4f42056e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Nb1Ni1_ICSD_614910,62,oP16,268.881
Hf1N1,aflow:a3ef546736421603,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf1N1_ICSD_167859,225,cF8,269.533
N3Ta2Zr1,aflow:3d7e68f7ff5a44bf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N3Ta2Zr1_ICSD_186422,191,hP6,269.713
Ir3Zr1,aflow:3449b10658b69dd3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir3Zr1_ICSD_104610,221,cP4,269.722
N1Ti1,aflow:6cbb3552b5a8b20a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Ti1_ICSD_105128,225,cF8,269.778
O4Os2,aflow:bdb002522824fad1,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/OOs_pv/A2B_tP6_136_f_a-001.AB,136,tP6,269.836
O4Os2,aflow:09be66b9ee3ec794,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Os1_ICSD_15070,136,tP6,270.183
O8Re4,aflow:c85c1d1ed3ac501d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O2Re1_ICSD_24060,60,oP12,270.644
C2Nb2,aflow:92e7fe1e33406140,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Nb1_ICSD_189093,194,hP4,271.037
